選手,左右,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
アドゥワ誠,右,広島東洋カープ,53,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2
會澤翼,右,広島東洋カープ,106,377,315,42,96,18,1,13,155,42,0,0,5,4,39,5,14,56,6,0.305,0.492,0.401
安部友裕,左,広島東洋カープ,72,252,220,32,52,11,4,4,83,24,7,1,7,2,21,3,2,60,1,0.236,0.377,0.306
天谷宗一郎,左,広島東洋カープ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新井貴浩,右,広島東洋カープ,63,132,114,7,25,3,1,4,42,24,0,0,0,4,14,1,0,26,4,0.219,0.368,0.295
飯田哲矢,左,広島東洋カープ,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石原慶幸,右,広島東洋カープ,58,107,96,6,17,1,0,1,21,7,0,0,4,1,5,2,1,27,4,0.177,0.219,0.223
磯村嘉孝,右,広島東洋カープ,37,91,79,6,17,2,0,1,22,4,0,0,5,0,6,1,1,12,4,0.215,0.278,0.279
一岡竜司,右,広島東洋カープ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今村猛,右,広島東洋カープ,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩本貴裕,左,広島東洋カープ,10,8,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0.143,0.143,0.25
上本崇司,右,広島東洋カープ,59,13,11,8,1,0,0,0,1,0,6,2,1,0,1,0,0,4,0,0.091,0.091,0.167
エルドレッド,右,広島東洋カープ,38,94,80,8,17,9,0,5,41,14,0,0,0,0,11,0,3,19,3,0.213,0.513,0.33
大瀬良大地,右,広島東洋カープ,27,69,57,4,10,2,0,0,12,9,0,0,9,0,3,0,0,22,3,0.175,0.211,0.217
岡田明丈,左,広島東洋カープ,26,49,43,3,6,0,0,0,6,3,0,0,4,1,1,0,0,25,2,0.14,0.14,0.156
カンポス,右,広島東洋カープ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菊池涼介,右,広島東洋カープ,139,642,557,85,130,27,1,13,198,60,10,2,30,1,51,2,3,111,5,0.233,0.355,0.301
九里亜蓮,右,広島東洋カープ,24,37,30,0,2,0,0,0,2,1,0,0,5,0,2,0,0,22,1,0.067,0.067,0.125
小窪哲也,右,広島東洋カープ,17,28,26,2,8,3,1,0,13,3,0,0,0,0,1,1,1,7,0,0.308,0.5,0.357
坂倉将吾,左,広島東洋カープ,9,9,8,1,1,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0.125,0.25,0.222
佐藤祥万,左,広島東洋カープ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジャクソン,右,広島東洋カープ,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジョンソン,左,広島東洋カープ,24,53,45,3,4,0,0,0,4,2,0,0,5,0,3,0,0,22,2,0.089,0.089,0.146
下水流昂,右,広島東洋カープ,67,89,80,8,21,1,0,4,34,12,0,1,2,0,7,0,0,25,5,0.263,0.425,0.322
庄司隼人,左,広島東洋カープ,12,15,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.067
鈴木誠也,右,広島東洋カープ,124,520,422,86,135,32,2,30,261,94,4,4,0,5,88,2,5,116,4,0.32,0.618,0.438
曽根海成,左,広島東洋カープ,11,22,18,3,5,0,1,0,7,2,1,0,1,0,2,0,1,9,0,0.278,0.389,0.381
高橋昂也,左,広島東洋カープ,6,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0.2
髙橋大樹,右,広島東洋カープ,6,16,15,1,5,1,0,0,6,0,0,0,0,0,1,0,0,4,1,0.333,0.4,0.375
高橋樹也,左,広島東洋カープ,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
田中広輔,左,広島東洋カープ,143,675,572,92,150,19,10,10,219,60,32,13,6,5,75,3,17,118,6,0.262,0.383,0.362
堂林翔太,右,広島東洋カープ,63,60,51,11,11,3,1,0,16,5,0,1,7,0,2,0,0,14,1,0.216,0.314,0.245
戸田隆矢,左,広島東洋カープ,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143
長井良太,右,広島東洋カープ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永川勝浩,右,広島東洋カープ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中﨑翔太,右,広島東洋カープ,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中田廉,右,広島東洋カープ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中村恭平,左,広島東洋カープ,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
中村祐太,右,広島東洋カープ,9,13,10,1,2,1,0,0,3,1,0,0,1,0,2,0,0,3,0,0.2,0.3,0.333
西川龍馬,左,広島東洋カープ,107,361,327,44,101,22,3,6,147,46,5,3,4,1,27,3,2,51,4,0.309,0.45,0.364
野間峻祥,左,広島東洋カープ,126,447,405,64,116,14,7,5,159,46,17,10,4,2,30,0,6,69,2,0.286,0.393,0.343
野村祐輔,右,広島東洋カープ,20,46,39,0,4,0,0,0,4,1,0,0,5,0,2,0,0,18,1,0.103,0.103,0.146
バティスタ,右,広島東洋カープ,99,302,273,38,66,8,0,25,149,55,0,1,0,2,26,4,1,81,6,0.242,0.546,0.308
フランスア,左,広島東洋カープ,47,7,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0.143
福井優也,右,広島東洋カープ,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
藤井皓哉,左,広島東洋カープ,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
船越涼太,右,広島東洋カープ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヘルウェグ,右,広島東洋カープ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松山竜平,左,広島東洋カープ,124,446,397,46,120,25,2,12,185,74,2,0,0,5,42,4,2,46,10,0.302,0.466,0.368
丸佳浩,左,広島東洋カープ,125,566,432,109,132,22,0,39,271,97,10,10,0,1,130,8,3,130,5,0.306,0.627,0.468
美間優槻,右,広島東洋カープ,30,38,36,2,5,0,0,0,5,1,0,0,1,0,1,0,0,11,2,0.139,0.139,0.162
メヒア,右,広島東洋カープ,22,44,41,6,11,2,0,3,22,7,1,1,0,0,2,0,1,12,2,0.268,0.537,0.318
薮田和樹,右,広島東洋カープ,9,9,7,0,1,0,0,0,1,1,0,0,2,0,0,0,0,3,0,0.143,0.143,0.143
青柳晃洋,右,広島東洋カープ,4,8,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.143,0.143,0.25
秋山拓巳,左,広島東洋カープ,17,31,29,2,5,0,0,1,8,4,0,0,2,0,0,0,0,16,0,0.172,0.276,0.172
飯田優也,左,広島東洋カープ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石崎剛,右,広島東洋カープ,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
板山祐太郎,左,広島東洋カープ,20,39,35,1,9,0,0,1,12,3,0,0,0,1,3,0,0,14,4,0.257,0.343,0.308
糸井嘉男,左,広島東洋カープ,119,509,419,60,129,24,0,16,201,68,22,3,0,5,77,4,8,63,9,0.308,0.48,0.42
伊藤和雄,右,広島東洋カープ,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伊藤隼太,左,広島東洋カープ,96,172,150,17,37,7,2,1,51,13,0,0,2,0,20,0,0,41,1,0.247,0.34,0.335
糸原健斗,左,広島東洋カープ,143,637,531,79,152,29,4,1,192,35,6,4,9,4,86,1,7,73,5,0.286,0.362,0.39
岩崎優,左,広島東洋カープ,61,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
岩貞祐太,左,広島東洋カープ,23,42,36,0,0,0,0,0,0,0,0,0,2,0,4,0,0,23,0,0,0,0.1
岩田稔,左,広島東洋カープ,6,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0.125
植田海,右,広島東洋カープ,104,243,198,29,38,1,0,0,39,1,19,2,18,0,25,0,2,55,5,0.192,0.197,0.289
上本博紀,右,広島東洋カープ,20,53,45,7,19,3,0,1,25,6,4,0,1,1,6,0,0,8,1,0.422,0.556,0.481
梅野隆太郎,右,広島東洋カープ,132,455,386,45,100,27,1,8,153,47,5,1,28,1,39,3,1,67,6,0.259,0.396,0.328
江越大賀,右,広島東洋カープ,29,40,40,6,6,2,0,1,11,1,3,0,0,0,0,0,0,22,0,0.15,0.275,0.15
大山悠輔,右,広島東洋カープ,117,378,347,48,95,19,4,11,155,48,5,3,1,2,26,0,2,54,14,0.274,0.447,0.326
岡﨑太一,右,広島東洋カープ,6,13,11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
岡本洋介,右,広島東洋カープ,34,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2
尾仲祐哉,左,広島東洋カープ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小野泰己,右,広島東洋カープ,23,44,36,3,2,1,0,0,3,1,0,0,7,0,1,0,0,26,0,0.056,0.083,0.081
熊谷敬宥,右,広島東洋カープ,19,18,13,10,3,0,0,0,3,2,3,1,3,0,2,0,0,3,1,0.231,0.231,0.333
桑原謙太朗,右,広島東洋カープ,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
才木浩人,右,広島東洋カープ,22,25,20,0,2,0,0,0,2,1,0,0,3,0,1,0,1,16,0,0.1,0.1,0.182
坂本誠志郎,右,広島東洋カープ,15,16,13,1,2,1,0,0,3,1,0,0,0,1,2,0,0,7,0,0.154,0.231,0.25
島田海吏,左,広島東洋カープ,12,37,35,5,7,1,1,0,10,1,0,1,1,0,1,0,0,7,0,0.2,0.286,0.222
島本浩也,左,広島東洋カープ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
俊介,右,広島東洋カープ,87,200,183,25,41,5,1,2,54,21,1,0,6,0,11,0,0,29,4,0.224,0.295,0.268
髙橋聡文,左,広島東洋カープ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
髙橋遥人,左,広島東洋カープ,6,12,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0.091,0.091,0.167
髙山俊,左,広島東洋カープ,45,134,128,8,22,5,0,1,30,14,0,1,0,1,4,0,1,22,4,0.172,0.234,0.201
竹安大知,右,広島東洋カープ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
谷川昌希,右,広島東洋カープ,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ドリス,右,広島東洋カープ,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥谷敬,左,広島東洋カープ,121,261,220,15,51,11,0,1,65,22,1,1,3,3,34,3,1,37,6,0.232,0.295,0.333
ナバーロ,左,広島東洋カープ,66,225,203,18,56,11,0,3,76,25,0,0,0,1,20,0,1,55,5,0.276,0.374,0.342
長坂拳弥,右,広島東洋カープ,9,9,8,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0.125,0.25,0.125
中谷将大,右,広島東洋カープ,77,246,222,24,51,6,2,5,76,26,0,1,1,3,17,2,2,65,5,0.23,0.342,0.287
西岡剛,右,広島東洋カープ,25,43,40,4,5,3,0,0,8,1,0,0,0,0,3,0,0,10,0,0.125,0.2,0.186
能見篤史,左,広島東洋カープ,45,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
馬場皐輔,右,広島東洋カープ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
原口文仁,右,広島東洋カープ,82,124,111,8,35,2,0,2,43,19,0,0,0,0,8,1,5,27,1,0.315,0.387,0.387
福留孝介,左,広島東洋カープ,123,499,414,57,116,26,2,14,188,72,2,1,0,7,73,2,5,90,10,0.28,0.454,0.389
福永春吾,左,広島東洋カープ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤川球児,左,広島東洋カープ,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤浪晋太郎,右,広島東洋カープ,13,26,23,2,4,2,0,1,9,5,0,0,2,0,1,0,0,15,0,0.174,0.391,0.208
北條史也,右,広島東洋カープ,62,266,239,34,77,8,1,1,90,20,1,0,4,3,19,0,1,32,7,0.322,0.377,0.37
マテオ,右,広島東洋カープ,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メッセンジャー,右,広島東洋カープ,28,61,53,4,8,0,0,0,8,3,0,0,5,0,3,0,0,26,0,0.151,0.151,0.196
モレノ,右,広島東洋カープ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
望月惇志,右,広島東洋カープ,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
森越祐人,右,広島東洋カープ,16,39,32,5,4,0,0,0,4,1,0,1,2,0,5,1,0,7,1,0.125,0.125,0.243
守屋功輝,右,広島東洋カープ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山崎憲晴,右,広島東洋カープ,32,22,18,3,4,1,0,0,5,2,0,0,3,0,1,0,0,4,0,0.222,0.278,0.263
山本翔也,左,広島東洋カープ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
陽川尚将,右,広島東洋カープ,75,299,274,27,69,16,5,6,113,48,5,0,0,1,17,1,7,76,7,0.252,0.412,0.311
ロサリオ,右,広島東洋カープ,75,302,281,28,68,13,0,8,105,40,0,1,0,3,17,0,1,71,12,0.242,0.374,0.285
東克樹,左,横浜DeNAベイスターズ,24,54,45,0,4,1,0,0,5,1,0,0,8,0,1,0,0,24,1,0.089,0.111,0.109
荒波翔,左,横浜DeNAベイスターズ,11,13,11,1,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0.154
飯塚悟史,左,横浜DeNAベイスターズ,9,15,15,0,2,1,0,0,3,0,0,0,0,0,0,0,0,9,0,0.133,0.2,0.133
石川雄洋,左,横浜DeNAベイスターズ,41,91,74,10,17,1,0,0,18,7,5,3,4,2,11,0,0,19,1,0.23,0.243,0.322
石田健大,左,横浜DeNAベイスターズ,23,27,25,1,1,0,0,0,1,0,0,0,2,0,0,0,0,14,0,0.04,0.04,0.04
伊藤光,右,横浜DeNAベイスターズ,47,151,128,12,25,5,0,1,33,11,1,1,0,2,18,0,3,29,5,0.195,0.258,0.305
井納翔一,右,横浜DeNAベイスターズ,24,16,16,1,3,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0.188,0.188,0.188
今永昇太,左,横浜DeNAベイスターズ,23,26,23,1,4,0,0,0,4,1,0,0,1,1,1,0,0,9,0,0.174,0.174,0.2
ウィーランド,右,横浜DeNAベイスターズ,17,38,33,1,6,1,0,1,10,2,0,0,1,1,3,0,0,9,0,0.182,0.303,0.243
エスコバー,左,横浜DeNAベイスターズ,53,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
乙坂智,左,横浜DeNAベイスターズ,73,109,93,16,19,2,0,0,21,7,3,3,2,2,12,1,0,22,0,0.204,0.226,0.29
加賀繁,右,横浜DeNAベイスターズ,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
笠井崇正,右,横浜DeNAベイスターズ,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
梶谷隆幸,左,横浜DeNAベイスターズ,41,137,127,21,34,8,0,8,66,18,5,2,0,0,8,0,2,21,1,0.268,0.52,0.321
神里和毅,左,横浜DeNAベイスターズ,86,273,247,31,62,14,3,5,97,21,15,9,4,0,19,1,3,68,4,0.251,0.393,0.312
京山将弥,右,横浜DeNAベイスターズ,13,25,23,1,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0.08
楠本泰史,左,横浜DeNAベイスターズ,56,82,73,4,15,3,0,0,18,2,2,1,0,0,6,0,3,19,0,0.205,0.247,0.293
国吉佑樹,右,横浜DeNAベイスターズ,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
倉本寿彦,左,横浜DeNAベイスターズ,85,235,228,11,53,7,0,1,63,14,1,2,0,1,6,0,0,51,5,0.232,0.276,0.251
桑原将志,右,横浜DeNAベイスターズ,127,421,379,57,99,24,5,9,160,26,17,3,7,0,32,1,3,71,3,0.261,0.422,0.324
G後藤武敏,右,横浜DeNAベイスターズ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
佐野恵太,左,横浜DeNAベイスターズ,73,130,126,6,29,4,0,5,48,14,1,0,0,1,3,0,0,26,3,0.23,0.381,0.246
柴田竜拓,左,横浜DeNAベイスターズ,113,265,224,32,49,6,0,3,64,13,2,1,6,0,30,2,5,45,3,0.219,0.286,0.324
須田幸太,右,横浜DeNAベイスターズ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
砂田毅樹,左,横浜DeNAベイスターズ,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
関根大気,左,横浜DeNAベイスターズ,29,26,25,4,7,2,1,0,11,3,2,2,1,0,0,0,0,6,0,0.28,0.44,0.28
ソト,右,横浜DeNAベイスターズ,107,459,416,74,129,16,0,41,268,95,0,1,0,5,29,2,9,100,5,0.31,0.644,0.364
平良拳太郎,右,横浜DeNAベイスターズ,13,27,24,0,2,0,0,0,2,0,0,0,2,0,1,0,0,13,1,0.083,0.083,0.12
髙城俊人,右,横浜DeNAベイスターズ,28,75,66,7,9,1,0,0,10,3,2,0,4,1,2,0,2,25,1,0.136,0.152,0.183
田中健二朗,左,横浜DeNAベイスターズ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
田中浩康,右,横浜DeNAベイスターズ,31,52,48,3,9,1,0,0,10,3,0,0,1,0,2,0,1,7,3,0.188,0.208,0.235
田村丈,右,横浜DeNAベイスターズ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
筒香嘉智,左,横浜DeNAベイスターズ,139,580,495,77,146,33,1,38,295,89,0,0,0,3,80,7,2,107,10,0.295,0.596,0.393
戸柱恭孝,左,横浜DeNAベイスターズ,25,59,56,5,10,2,0,1,15,6,0,0,1,0,2,0,0,9,3,0.179,0.268,0.207
中後悠平,左,横浜DeNAベイスターズ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中川大志,右,横浜DeNAベイスターズ,47,62,57,3,13,4,0,2,23,7,0,0,0,0,5,0,0,21,3,0.228,0.404,0.29
西森将司,右,横浜DeNAベイスターズ,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
パットン,右,横浜DeNAベイスターズ,58,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
バリオス,右,横浜DeNAベイスターズ,14,14,13,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0.077,0.077,0.077
濵口遥大,左,横浜DeNAベイスターズ,19,30,22,0,1,0,0,0,1,1,0,0,8,0,0,0,0,13,0,0.045,0.045,0.045
飛雄馬,右,横浜DeNAベイスターズ,4,8,7,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0.143,0.143,0.25
平田真吾,右,横浜DeNAベイスターズ,17,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
藤岡好明,左,横浜DeNAベイスターズ,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
細川成也,右,横浜DeNAベイスターズ,11,22,18,2,4,1,0,1,8,2,0,0,0,0,3,0,1,11,0,0.222,0.444,0.364
三上朋也,右,横浜DeNAベイスターズ,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三嶋一輝,右,横浜DeNAベイスターズ,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嶺井博希,右,横浜DeNAベイスターズ,91,230,209,10,37,7,0,5,59,25,0,0,6,1,6,2,8,56,9,0.177,0.282,0.228
宮﨑敏郎,右,横浜DeNAベイスターズ,142,590,551,71,175,34,0,28,293,71,0,0,0,0,38,3,1,45,16,0.318,0.532,0.363
宮本秀明,左,横浜DeNAベイスターズ,21,25,25,6,4,0,0,2,10,2,4,1,0,0,0,0,0,8,1,0.16,0.4,0.16
武藤祐太,右,横浜DeNAベイスターズ,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山﨑康晃,右,横浜DeNAベイスターズ,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山下幸輝,左,横浜DeNAベイスターズ,21,65,63,3,14,2,0,1,19,3,1,0,2,0,0,0,0,13,1,0.222,0.302,0.222
大和,右,横浜DeNAベイスターズ,113,435,394,54,96,24,3,2,132,27,10,6,9,3,24,1,5,73,0,0.244,0.335,0.293
山本祐大,右,横浜DeNAベイスターズ,2,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,4,1
ロペス,右,横浜DeNAベイスターズ,110,459,441,46,127,23,0,26,228,77,0,0,0,1,16,1,1,58,12,0.288,0.517,0.314
アダメス,右,読売ジャイアンツ,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿部慎之助,左,読売ジャイアンツ,95,223,198,22,49,6,0,11,88,46,0,0,1,1,21,2,2,55,6,0.247,0.444,0.324
池田駿,左,読売ジャイアンツ,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川慎吾,右,読売ジャイアンツ,17,28,26,1,5,1,1,0,8,0,0,0,0,0,2,0,0,6,1,0.192,0.308,0.25
今村信貴,左,読売ジャイアンツ,13,30,25,0,1,0,0,0,1,2,0,0,4,0,1,0,0,16,0,0.04,0.04,0.077
上原浩治,右,読売ジャイアンツ,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宇佐見真吾,左,読売ジャイアンツ,29,58,48,2,5,2,0,0,7,3,0,0,0,0,10,1,0,20,1,0.104,0.146,0.259
内海哲也,左,読売ジャイアンツ,15,23,21,0,2,0,0,0,2,0,0,0,2,0,0,0,0,10,1,0.095,0.095,0.095
大城卓三,左,読売ジャイアンツ,83,202,185,19,49,12,0,4,73,17,0,1,2,0,15,3,0,46,3,0.265,0.395,0.32
