選手,左右,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
明石 健志,左,福岡ソフトバンクホークス,45,115,103,16,29,5,3,1,43,12,2,1,0,0,11,1,1,21,0,0.282,0.417,0.357
飯田 優也,左,福岡ソフトバンクホークス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五十嵐 亮太,右,福岡ソフトバンクホークス,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川 柊太,右,福岡ソフトバンクホークス,42,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
市川 友也,右,福岡ソフトバンクホークス,25,51,42,2,7,1,1,2,16,5,0,0,8,0,0,0,1,11,0,0.167,0.381,0.186
今宮 健太,右,福岡ソフトバンクホークス,99,405,354,45,94,18,1,11,147,45,5,4,22,2,25,2,2,60,5,0.266,0.415,0.316
岩嵜 翔,右,福岡ソフトバンクホークス,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上林 誠知,左,福岡ソフトバンクホークス,143,608,551,88,149,26,14,22,269,62,13,4,17,3,30,4,7,117,2,0.27,0.488,0.315
内川 聖一,右,福岡ソフトバンクホークス,71,296,281,27,68,11,0,8,103,30,1,1,0,3,9,0,3,32,6,0.242,0.367,0.27
江川 智晃,右,福岡ソフトバンクホークス,5,5,5,2,3,1,0,1,7,1,0,0,0,0,0,0,0,2,0,0.6,1.4,0.6
大竹 耕太郎,左,福岡ソフトバンクホークス,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡本 健,右,福岡ソフトバンクホークス,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甲斐 拓也,右,福岡ソフトバンクホークス,133,363,314,27,67,13,1,7,103,37,2,1,23,0,26,0,0,79,6,0.213,0.328,0.274
笠原 大芽,右,福岡ソフトバンクホークス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
笠谷 俊介,左,福岡ソフトバンクホークス,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加治屋 蓮,右,福岡ソフトバンクホークス,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
釜元 豪,左,福岡ソフトバンクホークス,6,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
嘉弥真 新也,左,福岡ソフトバンクホークス,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川島 慶三,右,福岡ソフトバンクホークス,91,152,142,17,38,5,0,3,52,16,2,0,0,3,7,0,0,31,2,0.268,0.366,0.296
川瀬 晃,左,福岡ソフトバンクホークス,13,36,32,3,6,1,0,0,7,2,1,0,2,0,2,0,0,9,2,0.188,0.219,0.235
城所 龍磨,左,福岡ソフトバンクホークス,41,26,24,8,4,1,0,1,8,2,3,1,1,0,1,0,0,9,0,0.167,0.333,0.2
グラシアル,右,福岡ソフトバンクホークス,54,202,185,29,54,6,1,9,89,30,1,0,0,1,15,0,1,34,8,0.292,0.481,0.347
栗原 陵矢,左,福岡ソフトバンクホークス,11,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.111,0.111,0.111
サファテ,右,福岡ソフトバンクホークス,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
椎野 新,右,福岡ソフトバンクホークス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スアレス,右,福岡ソフトバンクホークス,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
攝津 正,右,福岡ソフトバンクホークス,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千賀 滉大,左,福岡ソフトバンクホークス,22,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5
髙田 知季,左,福岡ソフトバンクホークス,74,153,133,13,25,3,2,2,38,15,2,0,6,0,12,0,2,36,2,0.188,0.286,0.265
高橋 礼,右,福岡ソフトバンクホークス,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
髙谷 裕亮,左,福岡ソフトバンクホークス,73,57,52,5,9,1,0,1,13,4,0,0,3,0,1,0,1,11,1,0.173,0.25,0.204
武田 翔太,右,福岡ソフトバンクホークス,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
田中 正義,右,福岡ソフトバンクホークス,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塚田 正義,右,福岡ソフトバンクホークス,25,45,37,8,10,2,0,3,21,6,0,1,2,0,6,0,0,13,0,0.27,0.568,0.372
デスパイネ,右,福岡ソフトバンクホークス,116,469,407,62,97,15,1,29,201,74,0,0,0,3,55,4,4,93,13,0.238,0.494,0.333
寺原 隼人,右,福岡ソフトバンクホークス,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
中田 賢一,右,福岡ソフトバンクホークス,23,6,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.2,0.2,0.2
中村 晃,左,福岡ソフトバンクホークス,136,580,506,57,148,28,1,14,220,57,1,1,3,6,60,4,5,68,5,0.292,0.435,0.369
西田 哲朗,右,福岡ソフトバンクホークス,72,113,109,18,23,3,0,4,38,16,3,0,2,1,1,0,0,37,1,0.211,0.349,0.216
二保 旭,右,福岡ソフトバンクホークス,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バンデンハーク,右,福岡ソフトバンクホークス,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
