"","jpyear","year","x2","x3","x4","x5","x6","TOPIX"
"1","25",1950,"12.66","13.24","8/21","9.5899999999999999","7/ 3","11.57"
"2","26",1951,"11.58","17.109999999999999","10/20","11.58","1/ 4","16.940000000000001"
"3","27",1952,"17.09","33.549999999999997","11/22","17.07","1/ 8","33.350000000000001"
"4","28",1953,"33.539999999999999","42.18","2/ 4","28.460000000000001","4/ 1","33.299999999999997"
"5","29",1954,"32.189999999999998","33.219999999999999","1/11","26.789999999999999","11/13","30.27"
"6","30",1955,"30.640000000000001","39.060000000000002","12/28","30","3/28","39.060000000000002"
"7","31",1956,"39.399999999999999","52.950000000000003","12/ 6","38.810000000000002","1/25","51.210000000000001"
"8","32",1957,"51.420000000000002","54.82","1/21","43.18","12/27","43.399999999999999"
"9","33",1958,"43.479999999999997","60.950000000000003","12/27","43.479999999999997","1/ 4","60.950000000000003"
"10","34",1959,"61.460000000000001","90.140000000000001","11/30","61.109999999999999","1/ 9","80"
"11","35",1960,"79.459999999999994","112.53","11/15","79.459999999999994","1/ 4","109.18000000000001"
"12","36",1961,"109.97","126.59","7/14","90.859999999999999","12/19","101.66"
"13","37",1962,"101.34","111.45","2/14","83.390000000000001","10/30","99.670000000000002"
"14","38",1963,"100.11","122.95999999999999","5/10","91.209999999999994","12/18","92.870000000000005"
"15","39",1964,"91.609999999999999","103.77","7/ 3","87.939999999999998","11/11","90.680000000000007"
"16","40",1965,"91.299999999999997","105.68000000000001","12/28","81.290000000000006","7/15","105.68000000000001"
"17","41",1966,"106.48999999999999","114.51000000000001","3/24","105.20999999999999","1/19","111.41"
"18","42",1967,"111.23","117.59999999999999","5/31","99.170000000000002","12/11","100.89"
"19","43",1968,"100","142.94999999999999","10/ 2","100","1/ 4","131.31"
"20","44",1969,"132.62","179.30000000000001","12/27","132.62","1/ 4","179.30000000000001"
"21","45",1970,"182.63","185.69999999999999","4/ 8","147.08000000000001","12/ 9","148.34999999999999"
"22","46",1971,"149.02000000000001","209","8/14","148.05000000000001","1/ 6","199.44999999999999"
"23","47",1972,"199.93000000000001","401.69999999999999","12/28","199.93000000000001","1/ 4","401.69999999999999"
"24","48",1973,"403.92000000000002","422.48000000000002","1/24","284.69","12/18","306.44"
"25","49",1974,"304.12","342.47000000000003","6/ 5","251.96000000000001","10/ 9","278.33999999999997"
"26","50",1975,"276.04000000000002","333.11000000000001","7/ 2","268.24000000000001","1/10","323.43000000000001"
"27","51",1976,"326.27999999999997","383.88","12/28","326.27999999999997","1/ 5","383.88"
"28","52",1977,"384.13999999999999","390.93000000000001","9/29","350.49000000000001","11/24","364.07999999999998"
"29","53",1978,"364.04000000000002","452.60000000000002","12/13","364.04000000000002","1/ 4","449.55000000000001"
"30","54",1979,"452.85000000000002","465.24000000000001","9/29","435.13","7/13","459.61000000000001"
"31","55",1980,"458.80000000000001","497.95999999999998","10/20","449.00999999999999","3/10","494.10000000000002"
"32","56",1981,"495.79000000000002","603.91999999999996","8/17","495.79000000000002","1/ 5","570.30999999999995"
"33","57",1982,"572.38","593.72000000000003","12/28","511.51999999999998","8/17","593.72000000000003"
"34","58",1983,"592.63999999999999","731.82000000000005","12/28","574.50999999999999","1/25","731.82000000000005"
"35","59",1984,"735.45000000000005","913.37","12/28","735.45000000000005","1/ 4","913.37"
"36","60",1985,"916.92999999999995","1058.3499999999999","7/27","916.92999999999995","1/ 4","1049.4000000000001"
"37","61",1986,"1049.1300000000001","1583.3499999999999","8/20","1025.8499999999999","1/21","1556.3699999999999"
"38","62",1987,"1575.3099999999999","2258.5599999999999","6/11","1557.46","1/13","1725.8299999999999"
"39","63",1988,"1690.4400000000001","2357.0300000000002","12/28","1690.4400000000001","1/ 4","2357.0300000000002"
